Rainfall (inch/month)																																									
Year Month	WBA10	WBA11	WBA12	WBA13	WBA14	WBA15N	WBA15S	WBA16	WBA17N	WBA17S	WBA18	WBA19	WBA2	WBA20	WBA21	WBA22	WBA23	WBA24	WBA25	WBA26N	WBA26S	WBA3	WBA4	WBA5	WBA6	WBA60N	WBA60S	WBA61	WBA62	WBA63	WBA64	WBA70	WBA71	WBA72	WBA73	WBA7N	WBA7S	WBA8N	WBA8S	WBA9	WBA90
1924  08	0.0798	0.0375	0.0131	0.0216	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2110	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2230	0.0770	0.0749	0.0000	0.0000	0.0686	0.2345	0.0022	0.0059	0.0001	0.9569	0.4133	0.0854	0.0799	0.0001	0.0000	0.0110	0.0000	0.0248	0.0183
1924  09	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0655	0.2241	0.0021	0.0000	0.0000	0.9143	0.3784	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0904
1924  10	5.1304	4.3297	4.5685	5.9476	5.3269	4.0623	3.8865	3.7140	3.4457	3.4270	3.3645	3.3314	5.0161	3.1564	2.0338	2.3117	3.4212	4.1031	2.8131	2.1855	2.0739	5.0548	4.0740	4.6182	3.5620	0.9864	1.1631	2.3321	1.8009	1.1936	1.6362	2.2220	1.7745	0.5427	0.4740	3.4068	3.4291	3.3987	3.1081	3.5881	0.4686
1924  11	2.6336	2.0598	2.2013	2.8772	2.5289	1.9286	1.8451	1.7632	1.0170	1.4265	1.2415	1.6183	4.5803	1.1633	1.5219	1.5591	1.7063	2.1572	1.1092	1.6548	1.5707	4.9529	1.4230	2.1059	0.8302	1.2891	0.9391	1.0637	1.0932	1.4049	1.2175	1.1482	0.9303	0.6663	0.6112	0.8132	1.0534	1.1002	0.9889	1.4071	0.6118
1924  12	6.6467	5.9391	6.5208	8.4416	7.7616	5.9190	5.6629	5.4116	5.1565	5.0844	4.9805	4.8895	4.0845	4.3588	3.4990	3.8122	5.0639	6.1797	4.2016	3.7778	3.5928	4.0093	4.4755	5.7143	5.0389	3.2635	3.2846	3.3717	2.7603	2.1393	1.7690	3.1364	2.7111	1.6074	1.3989	4.8422	5.0474	4.8700	4.6129	5.0491	2.3607
1925  01	0.9121	1.1447	1.4297	1.8124	1.8294	1.3951	1.3347	1.2755	1.5792	1.3507	1.3831	1.1628	2.7373	1.0278	0.9800	1.0265	1.2163	1.5146	0.9237	1.0615	1.0076	2.9649	0.9543	0.9098	0.8977	0.8273	0.5921	0.6827	0.5952	1.0497	0.8277	1.4778	0.9792	1.1844	1.1122	0.9174	1.4759	1.1721	1.3589	1.1970	0.7199
1925  02	9.1548	7.6147	7.7131	10.0763	8.8781	6.7705	6.4774	6.1900	6.5443	6.0866	6.0683	5.6122	15.4399	5.2828	4.2883	4.5924	5.8335	7.1738	4.7450	4.6312	4.3953	16.2662	8.1737	8.5873	7.3171	2.7220	2.1589	2.9226	2.4504	1.9715	1.7470	2.5729	2.3696	1.7221	1.5335	6.9523	6.3594	6.5154	5.7775	6.6317	1.8169
1925  03	3.7737	2.9250	2.7082	3.5773	2.9863	2.2773	2.1788	2.0821	2.4646	2.1256	2.1925	1.8683	3.7275	3.2445	1.1277	1.2670	1.9128	2.2871	2.9909	1.1864	1.1287	3.7433	3.1221	3.4452	2.7608	1.5062	1.1380	0.6499	0.6469	0.8578	0.8526	0.7974	0.6118	0.4766	0.4428	2.6231	2.6700	2.4998	2.2353	2.5988	1.2557
1925  04	3.4544	2.4857	2.1193	2.8348	2.2195	1.6926	1.6194	1.5475	1.8783	1.6491	1.6564	1.4342	3.1998	1.2428	1.5414	1.5354	1.5272	1.9690	1.2524	1.6756	1.5934	3.3555	1.9072	2.8032	1.9692	1.6467	1.5889	1.6919	1.9350	2.6046	1.5343	1.4778	1.4599	1.4924	1.3403	1.8818	1.7629	1.9500	1.6188	2.1605	1.6028
1925  05	1.2655	1.4316	1.7230	2.1959	2.1657	1.6516	1.5801	1.5100	1.7946	1.6305	1.5942	1.4342	2.4441	1.6175	2.0204	1.9177	1.5647	2.1115	1.5223	2.1959	2.0845	2.5438	1.4929	1.3244	1.3418	1.1515	1.1087	1.6793	1.6746	1.7190	1.3596	1.1270	1.3206	1.3451	1.2134	1.3239	1.7693	1.4457	1.5747	1.4314	1.3181
1925  06	0.8893	0.8529	1.1530	1.4724	1.4393	1.0976	1.0501	1.0035	0.3470	0.6645	0.5733	0.8680	0.9532	1.0297	0.0632	0.2219	0.8529	0.9261	0.9190	0.0520	0.0494	0.8824	1.2539	1.0065	1.0715	0.0174	0.0715	0.2137	0.0020	0.0040	0.0310	0.8718	0.3685	0.0388	0.0381	0.9668	0.5050	0.5758	0.4161	0.4772	0.0210
1925  07	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007	0.0000	0.0006	0.0000	0.0006	0.0095	0.0078	0.0014	0.0035	0.0008	0.0104	0.0099	0.0000	0.0000	0.0000	0.0000	0.0018	0.0708	0.2423	0.0023	0.0077	0.1731	0.9888	0.4092	0.0046	0.0141	0.0000	0.0001	0.0000	0.0000	0.0000	0.0149
1925  08	0.0342	0.1121	0.1939	0.2395	0.2690	0.2052	0.1963	0.1876	0.1675	0.1641	0.1662	0.1619	0.1337	0.0179	0.0096	0.0420	0.1595	0.1733	0.0120	0.0104	0.0099	0.1212	0.1400	0.0697	0.0000	0.0147	0.0822	0.2345	0.0022	0.0046	0.0001	0.9569	0.4094	0.0664	0.0622	0.0140	0.1370	0.0914	0.1434	0.1075	0.0142
1925  09	1.1971	0.7148	0.2997	0.4508	0.1480	0.1128	0.1080	0.1032	0.7896	0.3620	0.4924	0.0912	1.1585	0.6636	0.0287	0.0344	0.0897	0.1004	0.5661	0.0208	0.0197	1.2127	0.6945	0.9836	0.6950	0.0625	0.0910	0.2267	0.0021	0.0014	0.0310	0.9250	0.3828	0.0008	0.0026	0.6747	0.7756	0.7508	0.6423	0.8289	0.0027
1925  10	0.8551	0.4155	0.1589	0.2546	0.0269	0.0205	0.0196	0.0188	0.0479	0.0284	0.0345	0.0163	0.2656	0.0849	0.0013	0.0034	0.0158	0.0170	0.0796	0.0000	0.0001	0.2312	0.4525	0.6848	0.4151	0.0875	0.1189	0.2352	0.1193	0.3721	0.6923	0.9569	0.4633	0.3551	0.3616	0.3678	0.0592	0.2483	0.0429	0.2936	0.3719
1925  11	1.6873	1.5624	1.9521	2.5058	2.3944	1.8260	1.7469	1.6694	0.8974	1.3000	1.1378	1.5090	2.8345	1.3228	1.0892	1.1839	1.5636	1.9100	1.2618	1.1760	1.1172	3.0231	1.2135	1.4683	0.9653	0.8770	0.7388	0.7660	0.4691	0.6449	0.9612	1.7861	0.9720	0.4993	0.4881	0.9205	0.9970	0.9429	0.9029	1.0436	0.2316
1925  12	2.3828	1.9847	2.0567	2.6827	2.3809	1.8157	1.7371	1.6600	1.5912	1.5893	1.5332	1.5246	2.6107	1.5253	1.4420	1.4702	1.6068	2.0321	1.4896	1.5611	1.4841	2.6011	2.1616	2.2365	1.5541	1.4191	1.4211	1.6846	1.4924	1.2957	1.1722	1.4247	1.2319	0.4308	0.3638	1.4939	1.5936	1.5481	1.4326	1.6612	0.7373
1926  01	6.3844	5.4499	5.6024	7.3001	6.5106	4.9650	4.7501	4.5393	4.9411	4.5144	4.5317	4.1146	6.6161	5.3051	3.1072	3.3185	4.2691	5.2384	4.9845	3.3303	3.1666	6.6542	5.4756	5.9017	4.8362	3.6667	2.6210	1.2635	1.2902	1.6078	1.1986	1.2758	1.1350	1.0658	0.9671	4.6467	5.0824	4.6707	4.4346	4.8430	0.5455
1926  02	9.8845	7.9875	7.8891	10.3430	8.9588	6.8320	6.5363	6.2463	6.6041	6.2112	6.1237	5.7284	7.6690	5.5150	5.3043	5.4355	6.0289	7.6023	5.2513	5.7448	5.4585	7.8207	5.2726	7.8990	3.7454	4.4759	3.5770	2.9016	2.8667	3.0073	1.4450	2.3390	2.2394	1.4963	1.2729	3.8347	6.4253	5.7326	5.8381	6.8931	0.8092
1926  03	0.0570	0.0353	0.0093	0.0154	0.0000	0.0000	0.0000	0.0000	0.0598	0.0266	0.0344	0.0032	0.5447	0.0151	0.0475	0.0389	0.0069	0.0176	0.0268	0.0520	0.0497	0.5886	0.1400	0.0834	0.0000	0.2088	0.1950	0.2412	0.2626	0.7444	0.3042	0.9781	0.4721	0.3506	0.3231	0.0050	0.0504	0.0388	0.0455	0.0523	0.3594
1926  04	7.8095	6.1837	5.9017	7.7667	6.6048	5.0368	4.8188	4.6050	5.2163	4.7262	4.7144	4.2388	4.1127	6.1157	4.1131	4.1477	4.4697	5.6684	5.8378	4.4231	4.2056	3.9537	4.7105	6.4793	4.5177	4.1006	4.0876	4.5914	4.3622	3.4663	2.2033	2.2539	2.9167	1.4593	1.1758	4.3925	5.4662	4.9272	4.6940	5.4453	2.2679
1926  05	0.3876	0.5625	0.9767	1.2215	1.3048	0.9951	0.9520	0.9097	0.2154	0.5850	0.4627	0.8055	0.8653	0.3716	0.3463	0.4461	0.8167	0.9506	0.3954	0.3747	0.3569	0.7917	1.0449	0.6159	0.5406	0.3722	0.3944	0.3186	0.1006	0.0925	0.0590	0.9569	0.4325	0.0079	0.0038	0.4910	0.2524	0.3030	0.2660	0.2451	0.0945
1926  06	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0686	0.2345	0.0022	0.0000	0.0157	0.9569	0.3960	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1108
1926  07	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1926  08	0.0684	0.0458	0.0112	0.0185	0.0000	0.0000	0.0000	0.0000	0.0957	0.0372	0.0550	0.0004	0.2963	0.2158	0.0033	0.0000	0.0000	0.0000	0.1919	0.0000	0.0000	0.2447	0.4868	0.2183	0.2124	0.0043	0.0045	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1937	0.1241	0.1133	0.0854	0.0766	0.0000
1926  09	0.0342	0.0161	0.0056	0.0093	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0022	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0010	0.0100	0.0244	0.0097	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0085	0.0001	0.0072	0.0000	0.0106	0.0000
1926  10	1.4365	1.7211	2.6736	3.3702	3.4840	2.6569	2.5419	2.4291	0.7897	1.7245	1.3589	2.2260	2.6423	1.4239	2.0465	2.1086	2.3437	2.9541	1.3937	2.2272	2.1142	2.8554	0.8307	1.1687	0.4827	1.3388	0.8716	0.6663	0.5071	0.2174	0.4588	0.4253	0.4573	0.2278	0.2047	0.4892	0.9225	0.7293	0.8939	0.9034	0.3594
1926  11	9.2232	8.4986	9.3624	12.0976	11.2187	8.5554	8.1851	7.8219	8.1116	7.5532	7.5773	7.0181	12.4630	5.8652	4.3246	4.9132	7.2133	8.6616	5.4414	4.6625	4.4313	13.0396	6.3021	7.8607	3.6585	4.6987	3.6559	2.9269	3.0003	3.1395	3.8740	1.6904	2.2225	2.4100	2.2457	3.8835	7.7067	6.3997	7.1352	7.5594	1.5625
