Rainfall (inch/month)																																									
Year Month	WBA10	WBA11	WBA12	WBA13	WBA14	WBA15N	WBA15S	WBA16	WBA17N	WBA17S	WBA18	WBA19	WBA2	WBA20	WBA21	WBA22	WBA23	WBA24	WBA25	WBA26N	WBA26S	WBA3	WBA4	WBA5	WBA6	WBA60N	WBA60S	WBA61	WBA62	WBA63	WBA64	WBA70	WBA71	WBA72	WBA73	WBA7N	WBA7S	WBA8N	WBA8S	WBA9	WBA90
1925  03	3.773665445	2.925000284	2.708161705	3.577341188	2.986275537	2.27733512	2.178777659	2.082087831	2.464556805	2.125591334	2.192547378	1.868273709	3.727469643	3.244461157	1.127651434	1.266962423	1.912812116	2.287062119	2.990878199	1.186427537	1.128656645	3.743291123	3.122065022	3.445236349	2.760787303	1.506216318	1.13803594	0.649949813	0.646895547	0.857815894	0.852633308	0.797380371	0.611844224	0.476593408	0.442799726	2.623119473	2.669971003	2.499758725	2.235267284	2.598836965	1.25565738
1925  04	3.45444299	2.485677137	2.119261062	2.834802149	2.219529115	1.69261394	1.619361774	1.547497712	1.878324445	1.649127502	1.656365512	1.434181791	3.199839444	1.242802219	1.541379689	1.535352802	1.527185064	1.969017457	1.252418906	1.675568715	1.59338957	3.355515184	1.907209484	2.803215006	1.969232901	1.646730478	1.588861149	1.691864666	1.9350421	2.604563614	1.534340385	1.477811621	1.459855732	1.492378249	1.340337108	1.881830042	1.762878875	1.950039562	1.618758093	2.160517759	1.602805734
1925  05	1.265489016	1.431582064	1.722991119	2.195888431	2.165722349	1.651580875	1.580104519	1.509982616	1.794579759	1.630511684	1.594242415	1.434195542	2.444069866	1.617545118	2.020398299	1.917715972	1.56472343	2.111518948	1.522253043	2.19593167	2.084530907	2.543821293	1.492894056	1.3244496	1.341781242	1.151504932	1.108682677	1.679300371	1.674556414	1.719023319	1.359605437	1.126964258	1.320621406	1.34511749	1.213414779	1.323936962	1.769289758	1.445702546	1.574688978	1.431432456	1.318105079
1925  06	0.889262552	0.85290069	1.152993835	1.472440428	1.439331002	1.097634495	1.050131574	1.00352882	0.347003258	0.664478824	0.573306416	0.868004382	0.953208819	1.029656315	0.063200336	0.221871356	0.852853552	0.926052876	0.918984417	0.052036295	0.04939175	0.88244681	1.253902364	1.006482	1.071494373	0.017384868	0.071541651	0.213660525	0.001998535	0.003994793	0.031017308	0.871802539	0.368465055	0.038781879	0.038096549	0.966767151	0.504955586	0.575765101	0.416121056	0.477180397	0.021038351
1925  07	0	0	0	0	0	0	0	0	0	0.000671545	0	0.000630887	0	0.000598126	0.009470892	0.007784049	0.001383244	0.003529212	0.000768576	0.010407259	0.009867874	0	0	0	0	0.001750701	0.070841577	0.242317612	0.002266632	0.007658732	0.173091369	0.98875166	0.409169603	0.004594926	0.014114302	0	5.44828E-05	0	0	0	0.014946989
1925  08	0.034202406	0.11214722	0.193885031	0.239466581	0.269033832	0.205165326	0.196286276	0.18757548	0.167497465	0.164095593	0.166171788	0.161913368	0.133660871	0.017865596	0.009614945	0.041980518	0.159502372	0.173324879	0.01200257	0.010407259	0.009946445	0.12123099	0.13998676	0.069667733	0	0.014697747	0.082175142	0.234507119	0.002193515	0.004554019	0.000115632	0.956856445	0.409431333	0.066406267	0.062178046	0.01396852	0.136953388	0.091371892	0.143431494	0.107508839	0.014228217
1925  09	1.197084205	0.714788532	0.299671746	0.450839109	0.147968608	0.112840929	0.107957452	0.103166514	0.789574736	0.362019728	0.492397699	0.091248897	1.158502418	0.663629198	0.028737417	0.034376157	0.089732008	0.100446041	0.566052549	0.020814518	0.019735748	1.212738876	0.694542499	0.98359564	0.695023377	0.062475213	0.091023294	0.226684218	0.002120397	0.001392497	0.030951233	0.92496123	0.382771564	0.000835441	0.002566237	0.674690742	0.775584463	0.750765829	0.6423096	0.828919952	0.002707893
1925  10	0.855060146	0.415502244	0.158911608	0.254611361	0.026903383	0.020516533	0.019628628	0.018757548	0.047853914	0.028418955	0.034500684	0.016297376	0.265565326	0.084939835	0.001296481	0.003419647	0.015811913	0.016979567	0.079602434	0	0.000130951	0.231239985	0.45251487	0.684807005	0.415083406	0.087490318	0.118918484	0.235184211	0.119348043	0.372050813	0.692275295	0.956856445	0.463274329	0.355121986	0.361573405	0.367834635	0.059158609	0.248335947	0.042919176	0.293556503	0.371919417
1925  11	1.687318688	1.562351754	1.952138388	2.505812521	2.394401106	1.825971402	1.746947853	1.669421775	0.897355637	1.299975224	1.137766661	1.509043548	2.834470663	1.322806647	1.089225802	1.183946142	1.563566792	1.90998244	1.261845157	1.176020278	1.117191167	3.023092444	1.213507712	1.468281086	0.965310246	0.876958986	0.738780996	0.765958657	0.469072759	0.644882419	0.961207306	1.786132031	0.971988743	0.499319078	0.488052675	0.92050806	0.997041216	0.942933611	0.902851877	1.043632799	0.231582118
1925  12	2.382767607	1.984662455	2.056658834	2.682663109	2.380949414	1.815713136	1.737133539	1.660043001	1.59121715	1.589302539	1.533212596	1.524627228	2.610728511	1.525334965	1.441953645	1.470246142	1.606840858	2.032073519	1.489575031	1.561088865	1.484083439	2.601099458	2.161627755	2.236452989	1.554149496	1.419060838	1.421146786	1.684578216	1.492410018	1.295741154	1.172202741	1.42465293	1.231907205	0.430839254	0.363795833	1.493869145	1.593644021	1.548146445	1.432607859	1.661214411	0.73728736
1926  01	6.384449091	5.449947341	5.602373318	7.300124402	6.510618738	4.965000892	4.750127869	4.539326623	4.941103729	4.514402601	4.531725007	4.114550523	6.61605839	5.305086081	3.107177679	3.318450317	4.269120923	5.238403119	4.984517678	3.330322912	3.166571967	6.654184527	5.475630764	5.901749641	4.836204331	3.66672253	2.620991872	1.263543801	1.290173407	1.607825078	1.198583232	1.275808594	1.134961447	1.06583407	0.96707033	4.646706798	5.082394158	4.67072888	4.434551243	4.842998991	0.545502815
